Name,Watched Date,Year,Rewatch
Freaks,04/16/2020 00:00:00,1932,
Brief Encounter,04/17/2020 00:00:00,1945,
Dawn of the Dead,04/18/2020 00:00:00,1978,Yes
A Serious Man,04/19/2020 00:00:00,2009,
They Live,04/20/2020 00:00:00,1988,
Touch of Evil,04/21/2020 00:00:00,1958,
The Cabinet of Dr. Caligari,04/22/2020 00:00:00,1920,
Laura,04/24/2020 00:00:00,1944,
Dunston Checks In,04/25/2020 00:00:00,1996,
Vertigo,04/26/2020 00:00:00,1958,
The Seventh Seal,04/27/2020 00:00:00,1957,
The Thing,04/28/2020 00:00:00,1982,Yes
Alphaville,04/29/2020 00:00:00,1965,
Seconds,04/30/2020 00:00:00,1966,
Mirror,05/01/2020 00:00:00,1975,
Blazing Saddles,05/02/2020 00:00:00,1974,
Apocalypse Now,05/03/2020 00:00:00,1979,
Blue Velvet,05/04/2020 00:00:00,1986,
Fast Times at Ridgemont High,05/05/2020 00:00:00,1982,
Close-Up,05/05/2020 00:00:00,1990,
Safe,05/06/2020 00:00:00,1995,
Yi Yi,05/07/2020 00:00:00,2000,
Oldboy,05/08/2020 00:00:00,2003,
La La Land,05/09/2020 00:00:00,2016,
Moonlight,05/11/2020 00:00:00,2016,
Nosferatu,05/12/2020 00:00:00,1922,
Battleship Potemkin,05/13/2020 00:00:00,1925,
It Happened One Night,05/14/2020 00:00:00,1934,
City Lights,05/15/2020 00:00:00,1931,
Tangled,05/16/2020 00:00:00,2010,
The Treasure of the Sierra Madre,05/18/2020 00:00:00,1948,
Scoob!,05/19/2020 00:00:00,2020,
The Third Man,05/21/2020 00:00:00,1949,
Adaptation.,05/22/2020 00:00:00,2002,
High School Musical 2,05/22/2020 00:00:00,2007,
The Invisible Man,05/23/2020 00:00:00,2020,
Tokyo Story,05/24/2020 00:00:00,1953,
Sunset Boulevard,05/26/2020 00:00:00,1950,
Psycho,05/27/2020 00:00:00,1960,
"The Good, the Bad and the Ugly",05/28/2020 00:00:00,1966,
High School Musical 3: Senior Year,05/29/2020 00:00:00,2008,
Never Rarely Sometimes Always,05/29/2020 00:00:00,2020,
Jaws,05/31/2020 00:00:00,1975,
Chinatown,06/01/2020 00:00:00,1974,
The Return of the Living Dead,06/02/2020 00:00:00,1985,
"Paris, Texas",06/03/2020 00:00:00,1984,
Toy Story,06/04/2020 00:00:00,1995,Yes
Boogie Nights,06/04/2020 00:00:00,1997,
Fantastic Mr. Fox,06/05/2020 00:00:00,2009,
Titanic,06/06/2020 00:00:00,1997,
Fight Club,06/07/2020 00:00:00,1999,
Amélie,06/08/2020 00:00:00,2001,
Diary of the Dead,06/09/2020 00:00:00,2007,
Loving Vincent,06/11/2020 00:00:00,2017,
Lady Bird,06/11/2020 00:00:00,2017,
Sunrise: A Song of Two Humans,06/12/2020 00:00:00,1927,
Da 5 Bloods,06/13/2020 00:00:00,2020,
The Passion of Joan of Arc,06/14/2020 00:00:00,1928,
Spider-Man: Into the Spider-Verse,06/15/2020 00:00:00,2018,
Stagecoach,06/16/2020 00:00:00,1939,
The Rules of the Game,06/17/2020 00:00:00,1939,
Scooby-Doo! and the Witch's Ghost,06/17/2020 00:00:00,1999,
Out of the Past,06/18/2020 00:00:00,1947,
Spaceballs,06/19/2020 00:00:00,1987,
The Red Shoes,06/20/2020 00:00:00,1948,
Friday the 13th,06/21/2020 00:00:00,1980,
Singin' in the Rain,06/22/2020 00:00:00,1952,
Seven Samurai,06/23/2020 00:00:00,1954,
Blow-Up,06/24/2020 00:00:00,1966,
Evil Dead II,06/24/2020 00:00:00,1987,
Jaws,06/25/2020 00:00:00,1975,Yes
Breathless,06/28/2020 00:00:00,1960,
Raw,06/30/2020 00:00:00,2016,Yes
Hardcore,06/30/2020 00:00:00,1979,
A Woman Under the Influence,07/01/2020 00:00:00,1974,
Cinema Paradiso,07/02/2020 00:00:00,1988,
A Nightmare on Elm Street,07/04/2020 00:00:00,1984,
All About My Mother,07/05/2020 00:00:00,1999,
Dazed and Confused,07/06/2020 00:00:00,1993,
Punch-Drunk Love,07/07/2020 00:00:00,2002,
Survival of the Dead,07/08/2020 00:00:00,2009,
The Grand Budapest Hotel,07/09/2020 00:00:00,2014,
Uncle Boonmee Who Can Recall His Past Lives,07/10/2020 00:00:00,2010,
Sweeney Todd: The Demon Barber of Fleet Street,07/11/2020 00:00:00,2007,
Archive,07/11/2020 00:00:00,2020,
Palm Springs,07/12/2020 00:00:00,2020,
Pandora's Box,07/13/2020 00:00:00,1929,
The General,07/14/2020 00:00:00,1926,
Capone,07/14/2020 00:00:00,2020,
Modern Times,07/15/2020 00:00:00,1936,
Scarface,07/16/2020 00:00:00,1932,
First Cow,07/17/2020 00:00:00,2019,
Palm Springs,07/18/2020 00:00:00,2020,Yes
Scarlet Street,07/19/2020 00:00:00,1945,
Notorious,07/20/2020 00:00:00,1946,
Being There,07/21/2020 00:00:00,1979,
The Thing From Another World,07/24/2020 00:00:00,1951,
Anatomy of a Murder,07/25/2020 00:00:00,1959,
Groundhog Day,07/26/2020 00:00:00,1993,
The Old Guard,07/27/2020 00:00:00,2020,
Andrei Rublev,07/28/2020 00:00:00,1966,
PlayTime,07/29/2020 00:00:00,1967,
Iron Man,07/30/2020 00:00:00,2008,
News from Home,07/31/2020 00:00:00,1976,
#Alive,08/01/2020 00:00:00,2020,
Diary of a Wimpy Kid,08/02/2020 00:00:00,2010,
Duelle,08/03/2020 00:00:00,1976,
The Incredible Hulk,08/04/2020 00:00:00,2008,
Host,08/05/2020 00:00:00,2020,
Possession,08/05/2020 00:00:00,1981,
Thief,08/06/2020 00:00:00,1981,
Iron Man 2,08/07/2020 00:00:00,2010,
Ratcatcher,08/08/2020 00:00:00,1999,
An American Pickle,08/09/2020 00:00:00,2020,
Crash,08/10/2020 00:00:00,1996,
Thor,08/11/2020 00:00:00,2011,
The Final Exit of the Disciples of Ascensia,08/12/2020 00:00:00,2019,
Bacurau,08/12/2020 00:00:00,2019,
The Secret of the Third Planet,08/13/2020 00:00:00,1981,
The New World,08/13/2020 00:00:00,2005,
Diary of a Wimpy Kid: Rodrick Rules,08/14/2020 00:00:00,2011,
Spree,08/15/2020 00:00:00,2020,
Grizzly Man,08/16/2020 00:00:00,2005,
Captain America: The First Avenger,08/17/2020 00:00:00,2011,
She Dies Tomorrow,08/18/2020 00:00:00,2020,
Certified Copy,08/18/2020 00:00:00,2010,
Good Time,08/19/2020 00:00:00,2017,
The Maltese Falcon,08/20/2020 00:00:00,1941,
Laura,08/20/2020 00:00:00,1944,Yes
Touch of Evil,08/21/2020 00:00:00,1958,Yes
The Avengers,08/21/2020 00:00:00,2012,
A Page of Madness,08/22/2020 00:00:00,1926,
Diary of a Wimpy Kid: Dog Days,08/23/2020 00:00:00,2012,
Boys State,08/24/2020 00:00:00,2020,
The Phantom Carriage,08/25/2020 00:00:00,1921,
Iron Man 3,08/26/2020 00:00:00,2013,
Peninsula,08/27/2020 00:00:00,2020,
Top Hat,08/28/2020 00:00:00,1935,
Bill & Ted Face the Music,08/29/2020 00:00:00,2020,
King Kong,08/30/2020 00:00:00,1933,
Thor: The Dark World,08/31/2020 00:00:00,2013,
The Magnificent Ambersons,09/01/2020 00:00:00,1942,
Late Spring,09/02/2020 00:00:00,1949,
Captain America: The Winter Soldier,09/03/2020 00:00:00,2014,
Yes Man,09/04/2020 00:00:00,2008,
I'm Thinking of Ending Things,09/05/2020 00:00:00,2020,
The Incredible Shrinking Man,09/06/2020 00:00:00,1957,
Wild Strawberries,09/08/2020 00:00:00,1957,
Guardians of the Galaxy,09/09/2020 00:00:00,2014,
Eyes Without a Face,09/10/2020 00:00:00,1960,
High and Low,09/11/2020 00:00:00,1963,
Avengers: Age of Ultron,09/12/2020 00:00:00,2015,
"One Sings, the Other Doesn't",09/13/2020 00:00:00,1977,
The Conformist,09/14/2020 00:00:00,1970,
Ant-Man,09/15/2020 00:00:00,2015,
The Fan,09/16/2020 00:00:00,1982,
Heathers,09/18/2020 00:00:00,1989,Yes
The Devil All the Time,09/19/2020 00:00:00,2020,
Baskin,09/20/2020 00:00:00,2015,
Captain America: Civil War,09/21/2020 00:00:00,2016,
The Invisible Man,09/22/2020 00:00:00,1933,
Perfect Blue,09/22/2020 00:00:00,1997,
The Devil Rides Out,09/23/2020 00:00:00,1968,
Enola Holmes,09/24/2020 00:00:00,2020,
Doctor Strange,09/25/2020 00:00:00,2016,
Swallow,09/26/2020 00:00:00,2019,
Blood and Black Lace,09/27/2020 00:00:00,1964,
Guardians of the Galaxy Vol. 2,09/28/2020 00:00:00,2017,
Residue,09/29/2020 00:00:00,2020,
Society,09/30/2020 00:00:00,1989,
Diabolique,10/01/2020 00:00:00,1955,
The Final Exit of the Disciples of Ascensia,10/02/2020 00:00:00,2019,Yes
Spider-Man: Homecoming,10/03/2020 00:00:00,2017,
Creepshow,10/04/2020 00:00:00,1982,
The Orphanage,10/05/2020 00:00:00,2007,
The Stuff,10/06/2020 00:00:00,1985,
Popcorn,10/07/2020 00:00:00,1991,
Thor: Ragnarok,10/08/2020 00:00:00,2017,
