Title,Genres,SpokenLanguages,Runtime,WatchedDate,Rewatch,ReleaseYear
The Trial of the Chicago 7,"Drama,History",English,130,10/18/2020 00:00:00,,2020
The Slumber Party Massacre,Horror,English,77,10/19/2020 00:00:00,,1982
The Grapes of Death,Horror,French,91,10/20/2020 00:00:00,,1978
Captain Marvel,"Action,Adventure,Science Fiction",English,124,10/21/2020 00:00:00,Yes,2019
On the Rocks,"Drama,Comedy","English,French,Russian,Spanish",96,10/24/2020 00:00:00,,2020
Avengers: Endgame,"Adventure,Science Fiction,Action","English,Japanese,Xhosa",181,10/25/2020 00:00:00,,2019
Tales from the Hood,"Horror,Crime,Thriller",English,97,10/26/2020 00:00:00,,1995
Love Streams,Drama,"English,French,Spanish",141,10/27/2020 00:00:00,,1984
Landscape in the Mist,Drama,Greek,125,10/28/2020 00:00:00,,1988
Spider-Man: Far from Home,"Action,Adventure,Science Fiction","Czech,Dutch,English,German,Italian",129,10/29/2020 00:00:00,,2019
Eyes Wide Shut,"Drama,Thriller,Mystery",English,159,10/30/2020 00:00:00,,1999
The Boondock Saints,"Action,Thriller,Crime","English,Spanish",108,11/01/2020 00:00:00,,1999
The Captive,"Drama,Romance",French,118,11/02/2020 00:00:00,,2000
Irreversible,"Drama,Thriller,Crime,Mystery",French,98,11/03/2020 00:00:00,,2002
Love and Monsters,"Comedy,Action,Adventure,Fantasy",English,109,11/04/2020 00:00:00,,2020
Cosmos,"Drama,Comedy,Fantasy","English,French",102,11/05/2020 00:00:00,,2015
Hereditary,"Horror,Mystery,Thriller",English,128,11/06/2020 00:00:00,,2018
The Adventures of Prince Achmed,"Animation,Adventure,Family,Fantasy,Romance",No Language,65,11/07/2020 00:00:00,,1926
The Texas Chain Saw Massacre,Horror,English,83,11/07/2020 00:00:00,Yes,1974
The Jazz Singer,"Drama,Music","English,Spanish,Yiddish",89,11/08/2020 00:00:00,,1927
Grand Illusion,"Drama,History,War","Russian,German,French,English",114,11/09/2020 00:00:00,,1937
Angels with Dirty Faces,"Crime,Drama,Thriller",English,97,11/10/2020 00:00:00,,1938
Double Indemnity,"Crime,Drama,Mystery,Thriller",English,107,11/12/2020 00:00:00,,1944
Friday the 13th Part 2,"Horror,Thriller",English,87,11/13/2020 00:00:00,,1981
Letter from an Unknown Woman,"Drama,Romance",English,87,11/14/2020 00:00:00,,1948
Nights of Cabiria,Drama,Italian,110,11/15/2020 00:00:00,,1957
Love and Monsters,"Comedy,Action,Adventure,Fantasy",English,109,11/16/2020 00:00:00,Yes,2020
A Short Film About Killing,"Crime,Drama",Polish,85,11/17/2020 00:00:00,,1988
Ivan's Childhood,"Drama,War","German,Russian",95,11/20/2020 00:00:00,,1962
Woman in the Dunes,"Drama,Thriller",Japanese,147,11/21/2020 00:00:00,,1964
Picnic at Hanging Rock,"Drama,Mystery","English,French",117,11/23/2020 00:00:00,,1975
Blow Out,"Crime,Drama,Mystery,Thriller",English,108,11/24/2020 00:00:00,,1981
Hillbilly Elegy,Drama,English,117,11/25/2020 00:00:00,,2020
Do the Right Thing,Drama,"Spanish,English,Italian,Korean",120,11/27/2020 00:00:00,,1989
Blue Velvet,"Drama,Crime,Mystery,Thriller",English,120,11/30/2020 00:00:00,Yes,1986
Happiest Season,"Romance,Comedy",English,102,12/01/2020 00:00:00,,2020
Happiness,"Comedy,Drama","Russian,English",139,12/02/2020 00:00:00,,1998
Mrs. Doubtfire,"Comedy,Drama,Family",English,125,12/03/2020 00:00:00,,1993
In the Mood for Love,"Drama,Romance","Cantonese,French,Spanish",99,12/04/2020 00:00:00,,2000
Mank,"Drama,History",English,132,12/05/2020 00:00:00,,2020
Minor Premise,"Science Fiction,Thriller","Hindi,English",94,12/06/2020 00:00:00,,2020
Freaky,"Comedy,Fantasy,Horror,Thriller","English,Spanish",102,12/07/2020 00:00:00,,2020
Inland Empire,"Drama,Horror,Mystery,Fantasy","English,Polish",180,12/08/2020 00:00:00,,2006
The Salt of the Earth,Documentary,"French,Portuguese,English",109,12/09/2020 00:00:00,,2014
It's a Wonderful Life,"Drama,Family,Fantasy",English,130,12/10/2020 00:00:00,,1946
Elf,"Comedy,Family,Fantasy",English,97,12/11/2020 00:00:00,Yes,2003
The Prom,"Romance,Comedy",English,132,12/12/2020 00:00:00,,2020
Wolfwalkers,"Animation,Family,Adventure,Fantasy",English,103,12/13/2020 00:00:00,,2020
Spring Breakers,"Drama,Crime",English,94,12/14/2020 00:00:00,,2012
Faust,"Drama,Fantasy,Horror",No Language,116,12/15/2020 00:00:00,,1926
Ammonite,"Romance,Drama",English,118,12/16/2020 00:00:00,,2020
Tenet,"Action,Thriller,Science Fiction","English,Estonian",150,12/17/2020 00:00:00,,2020
Dazed and Confused,"Comedy,Drama",English,102,12/18/2020 00:00:00,Yes,1993
The Muppet Christmas Carol,"Music,Comedy,Family,Fantasy,Drama",English,85,12/19/2020 00:00:00,,1992
Ma Rainey's Black Bottom,"Drama,Music","Italian,English",94,12/20/2020 00:00:00,,2020
Blow Out,"Crime,Drama,Mystery,Thriller",English,108,12/21/2020 00:00:00,Yes,1981
Another Round,"Comedy,Drama","Danish,Swedish",117,12/22/2020 00:00:00,,2020
The Nightmare Before Christmas,"Fantasy,Animation,Family",English,76,12/23/2020 00:00:00,,1993
Noelle,"Family,Comedy,Fantasy","English,Spanish",100,12/23/2020 00:00:00,,2019
The Midnight Sky,"Science Fiction,Drama",English,118,12/27/2020 00:00:00,,2020
Gone in 60 Seconds,"Action,Crime,Drama,Thriller",English,105,12/28/2020 00:00:00,,1974
Soul,"Animation,Family,Comedy,Fantasy,Drama",English,101,12/29/2020 00:00:00,,2020
The Thing from Another World,"Drama,Horror,Science Fiction",English,87,12/30/2020 00:00:00,Yes,1951
The New Babylon,"Drama,History,War","No Language,Russian",92,01/02/2021 00:00:00,,1929
Rope,"Crime,Drama,Thriller",English,81,01/04/2021 00:00:00,,1948
I'm Thinking of Ending Things,"Drama,Mystery,Thriller,Fantasy",English,135,01/06/2021 00:00:00,Yes,2020
Toni,"Drama,Romance","French,Italian,Spanish",84,01/07/2021 00:00:00,,1935
The Blue Angel,Drama,German,108,01/08/2021 00:00:00,,1930
Pieces of a Woman,Drama,English,127,01/09/2021 00:00:00,,2020
Odd Man Out,"Crime,Drama,Thriller",English,116,01/11/2021 00:00:00,,1947
A Man Escaped,"Thriller,Drama,War,History","German,French",101,01/12/2021 00:00:00,,1956
"Je, Tu, Il, Elle","Drama,Romance",French,86,01/13/2021 00:00:00,,1974
Ugetsu,"Fantasy,Drama,Mystery",Japanese,96,01/14/2021 00:00:00,,1953
Bunny Lake Is Missing,"Drama,Mystery,Thriller",English,107,01/18/2021 00:00:00,,1965
Promising Young Woman,"Thriller,Crime,Drama",English,114,01/19/2021 00:00:00,,2020
Army of Shadows,"War,Drama,Thriller","German,English,French",145,01/20/2021 00:00:00,,1969
Badlands,"Drama,Crime","English,French",94,01/21/2021 00:00:00,,1973
Chopping Mall,"Horror,Science Fiction",English,77,01/22/2021 00:00:00,,1986
Game Night,"Mystery,Comedy,Crime",English,100,01/24/2021 00:00:00,,2018
Polyester,Comedy,English,86,01/26/2021 00:00:00,,1981
Fat Girl,Drama,"English,French,Italian",86,01/27/2021 00:00:00,,2001
You Were Never Really Here,"Thriller,Drama,Crime",English,89,01/28/2021 00:00:00,,2017
The Beach Bum,Comedy,"English,Spanish",95,01/29/2021 00:00:00,,2019
Nostalgia,"Drama,Romance","Italian,Russian",126,01/30/2021 00:00:00,,1983
The Conformist,Drama,"French,Italian,Latin",108,02/01/2021 00:00:00,Yes,1970
Night on Earth,"Comedy,Drama","German,Finnish,French,English,Italian",128,02/02/2021 00:00:00,,1991
You Were Never Really Here,"Thriller,Drama,Crime",English,89,02/03/2021 00:00:00,Yes,2017
Hitch Hike,"Crime,Drama,Thriller","English,Italian",104,02/04/2021 00:00:00,,1977
Knives Out,"Comedy,Crime,Mystery","Spanish,English",131,02/06/2021 00:00:00,Yes,2019
Malcolm & Marie,"Drama,Romance",English,106,02/09/2021 00:00:00,,2021
Syndromes and a Century,"Drama,Romance",Thai,105,02/10/2021 00:00:00,,2006
Saint Maud,"Drama,Horror,Mystery","Welsh,English",85,02/11/2021 00:00:00,,2019
Roma,Drama,"English,Spanish",135,02/12/2021 00:00:00,,2018
The Lost Weekend,Drama,English,101,02/13/2021 00:00:00,,1945
High School Musical 2,"Comedy,Drama,Family,Music,Romance,TV Movie",English,111,02/14/2021 00:00:00,Yes,2007
The Shop Around the Corner,"Comedy,Drama,Romance",English,99,02/15/2021 00:00:00,,1940
In a Lonely Place,"Thriller,Mystery,Drama,Romance",English,94,02/17/2021 00:00:00,,1950
Barbarella,"Science Fiction,Adventure","French,English",98,02/18/2021 00:00:00,,1968
The American Friend,"Drama,Thriller","German,English,French",125,02/20/2021 00:00:00,,1977
Pixote,"Crime,Drama",Portuguese,128,02/21/2021 00:00:00,,1980
Morvern Callar,Drama,"English,Spanish",97,02/22/2021 00:00:00,,2002
Mean Girls,Comedy,"Swahili,English,German,Vietnamese",97,02/23/2021 00:00:00,,2004
Day of the Dead,"Horror,Thriller,Drama,Mystery",English,101,02/24/2021 00:00:00,Yes,1985
Lost Highway,"Drama,Thriller,Mystery",English,134,02/26/2021 00:00:00,,1997
L'Avventura,"Drama,Mystery","Italian,English",144,02/27/2021 00:00:00,,1960
Xtro,"Science Fiction,Horror",English,83,02/28/2021 00:00:00,,1982
Welcome to the Dollhouse,"Comedy,Drama","Hungarian,English",88,03/01/2021 00:00:00,,1995
WarGames,"Thriller,Science Fiction,Drama",English,114,03/02/2021 00:00:00,,1983
The Entity,"Horror,Mystery,Thriller",English,125,03/03/2021 00:00:00,,1982
Dude Bro Party Massacre III,"Horror,Comedy","English,French",101,03/04/2021 00:00:00,,2015
The Transporter,"Action,Crime,Thriller","English,French,Mandarin",92,03/05/2021 00:00:00,,2002
Judas and the Black Messiah,"Drama,History",English,126,03/06/2021 00:00:00,,2021
Dr. Jekyll and Mr. Hyde,"Drama,Horror,Science Fiction",No Language,79,03/07/2021 00:00:00,,1920
Shaun of the Dead,"Horror,Comedy",English,99,03/08/2021 00:00:00,,2004
Strange Invaders,"Horror,Mystery,Science Fiction",English,92,03/09/2021 00:00:00,,1983
Good Time,"Thriller,Crime",English,102,03/10/2021 00:00:00,Yes,2017
The Outlaw Josey Wales,Western,"Spanish,English,Navajo",135,03/11/2021 00:00:00,,1976
Turbo Kid,"Action,Adventure,Comedy,Science Fiction,Horror",English,95,03/13/2021 00:00:00,,2015
The Lady Eve,"Comedy,Romance",English,97,03/14/2021 00:00:00,,1941
The Odd Couple,Comedy,English,106,03/15/2021 00:00:00,,1968
Salt,"Action,Mystery,Thriller","English,Russian,Korean",100,03/18/2021 00:00:00,,2010
Shooter,"Action,Drama,Mystery,Thriller,Crime",English,124,03/19/2021 00:00:00,,2007
The Meetings of Anna,Drama,French,128,03/21/2021 00:00:00,,1978
American Honey,Drama,English,163,03/22/2021 00:00:00,,2016
Jay and Silent Bob Strike Back,Comedy,English,104,03/23/2021 00:00:00,,2001
The Mechanic,"Action,Crime,Thriller",English,100,03/24/2021 00:00:00,,1972
Symbiopsychotaxiplasm: Take One,Documentary,English,75,03/25/2021 00:00:00,,1968
The Night of the Hunter,"Crime,Drama,Thriller",English,93,03/26/2021 00:00:00,,1955
Toy Story 2,"Animation,Comedy,Family",English,92,03/27/2021 00:00:00,,1999
Moana,"Adventure,Comedy,Family,Animation",English,107,03/28/2021 00:00:00,,2016
Bringing Up Baby,"Comedy,Romance",English,102,03/29/2021 00:00:00,,1938
Gaslight,"Thriller,Drama,Mystery,Crime",English,114,03/30/2021 00:00:00,,1944
The Beach Bum,Comedy,"English,Spanish",95,03/31/2021 00:00:00,Yes,2019
The Lego Batman Movie,"Animation,Action,Comedy,Family",English,104,04/01/2021 00:00:00,,2017
Cherry,"Drama,Crime",English,140,04/02/2021 00:00:00,,2021
The SpongeBob Movie: Sponge on the Run,"Family,Animation,Fantasy,Adventure,Comedy",English,95,04/03/2021 00:00:00,,2020
Candyman,"Drama,Horror,Thriller",English,100,04/05/2021 00:00:00,Yes,1992
Godzilla vs. Kong,"Action,Fantasy,Science Fiction",English,114,04/06/2021 00:00:00,,2021
Daisies,"Comedy,Fantasy",Czech,76,04/07/2021 00:00:00,,1966
Shiva Baby,"Comedy,Drama","English,Hebrew",78,04/08/2021 00:00:00,,2020
Punch-Drunk Love,"Comedy,Drama,Romance",English,96,04/09/2021 00:00:00,Yes,2002
Re-Animator,"Science Fiction,Comedy,Horror","German,English",86,04/10/2021 00:00:00,,1985
Ginger Snaps,Horror,English,108,04/11/2021 00:00:00,,2000
Electric Dreams,"Music,Comedy,Drama",English,92,04/12/2021 00:00:00,,1984
The Dead Don't Die,"Comedy,Horror,Fantasy",English,104,04/13/2021 00:00:00,,2019
It,"Horror,Fantasy",English,135,04/15/2021 00:00:00,Yes,2017
Naked,"Drama,Comedy",English,131,04/16/2021 00:00:00,,1993
Nobody,"Action,Crime,Thriller","English,Russian,Spanish",92,04/17/2021 00:00:00,,2021
Porky's,Comedy,"Italian,English",94,04/18/2021 00:00:00,,1981
The Florida Project,Drama,"English,Portuguese,Spanish",112,04/20/2021 00:00:00,,2017
Riders of Justice,"Action,Comedy,Drama","Arabic,Estonian,Danish",116,04/21/2021 00:00:00,,2020
Jennifer's Body,"Horror,Comedy","Spanish,English",107,04/22/2021 00:00:00,,2009
Magic Mike XXL,"Comedy,Drama",English,115,04/23/2021 00:00:00,,2015
Big Fish,"Adventure,Fantasy,Drama",English,125,04/24/2021 00:00:00,,2003
Pontypool,"Horror,Mystery,Science Fiction","Armenian,French,English",96,04/25/2021 00:00:00,,2008
Dawn of the Dead,"Action,Horror",English,101,04/26/2021 00:00:00,Yes,2004
"Yes, God, Yes",Drama,English,78,04/28/2021 00:00:00,,2019
Uncut Gems,"Drama,Thriller,Crime",English,136,04/29/2021 00:00:00,,2019
The Master,Drama,English,137,04/30/2021 00:00:00,,2012
Concrete Cowboy,"Drama,Western","English,Spanish",111,05/01/2021 00:00:00,,2020
I Walked with a Zombie,"Drama,Horror,Fantasy",English,69,05/02/2021 00:00:00,,1943
I Know Where I'm Going!,"Drama,Romance","English,Gaelic",91,05/03/2021 00:00:00,,1945
THX 1138,"Science Fiction,Action,Drama",English,86,05/04/2021 00:00:00,,1971
No Country for Old Men,"Crime,Drama,Thriller","English,Spanish",122,05/05/2021 00:00:00,Yes,2007
Invasion of the Body Snatchers,"Horror,Science Fiction",English,80,05/06/2021 00:00:00,,1956
The Far Country,"Western,Romance",English,97,05/07/2021 00:00:00,,1954
The Mitchells vs. the Machines,"Animation,Adventure,Comedy",English,110,05/08/2021 00:00:00,,2021
My Night at Maud's,"Romance,Comedy,Drama",French,110,05/10/2021 00:00:00,,1969
The Apartment,"Comedy,Drama,Romance",English,125,05/11/2021 00:00:00,,1960
The Mitchells vs. the Machines,"Animation,Adventure,Comedy",English,110,05/17/2021 00:00:00,Yes,2021
Days of Heaven,"Drama,Romance","English,Italian",94,05/18/2021 00:00:00,,1978
Fritz the Cat,"Animation,Comedy,Drama",English,78,05/19/2021 00:00:00,,1972
Those Who Wish Me Dead,"Thriller,Action,Drama",English,100,05/20/2021 00:00:00,,2021
Army of the Dead,"Action,Crime,Horror,Thriller","English,German,Spanish",148,05/23/2021 00:00:00,,2021
Angst,"Crime,Drama,Horror,Thriller",German,75,05/24/2021 00:00:00,,1983
American Honey,Drama,English,163,05/25/2021 00:00:00,Yes,2016
Fear and Loathing in Las Vegas,"Adventure,Drama,Comedy",English,118,05/26/2021 00:00:00,,1998
American Psycho,"Thriller,Drama,Crime","English,Spanish,Cantonese",102,05/28/2021 00:00:00,,2000
Sherlock Jr.,"Action,Comedy,Mystery",No Language,45,05/29/2021 00:00:00,,1924
Jimmy Neutron: Boy Genius,"Family,Action,Adventure,Animation,Comedy,Science Fiction",English,83,05/30/2021 00:00:00,,2001
Bo Burnham: Inside,"Comedy,Drama",English,87,05/31/2021 00:00:00,,2021
Bo Burnham: Inside,"Comedy,Drama",English,87,06/01/2021 00:00:00,Yes,2021
Dear Zachary: A Letter to a Son About His Father,"Documentary,Crime",English,95,06/02/2021 00:00:00,,2008
(500) Days of Summer,"Comedy,Drama,Romance","English,French,Swedish",95,06/03/2021 00:00:00,,2009
After Hours,"Comedy,Thriller,Drama",English,97,06/04/2021 00:00:00,,1985
It's Such a Beautiful Day,"Drama,Animation,Comedy",English,62,06/05/2021 00:00:00,,2012
About Time,"Drama,Romance,Fantasy",English,123,06/07/2021 00:00:00,,2013
Hot Rod,"Comedy,Action",English,88,06/08/2021 00:00:00,,2007
City of Gold,Documentary,English,96,06/10/2021 00:00:00,,2015
Heathers,"Comedy,Crime",English,103,06/11/2021 00:00:00,Yes,1989
In the Heights,"Drama,Music,Romance","English,Spanish",143,06/12/2021 00:00:00,,2021
Election,Comedy,English,103,06/13/2021 00:00:00,,1999
Electra Glide in Blue,"Thriller,Crime,Drama,Mystery",English,114,06/17/2021 00:00:00,,1973
Nightcrawler,"Crime,Drama,Thriller",English,118,06/18/2021 00:00:00,,2014
Luca,"Animation,Comedy,Family,Fantasy","English,Italian",95,06/20/2021 00:00:00,,2021
Repo Man,"Comedy,Science Fiction","English,Spanish",92,06/21/2021 00:00:00,,1984
Akira,"Animation,Science Fiction,Action",Japanese,124,06/22/2021 00:00:00,,1988
Streets of Fire,Action,English,93,06/23/2021 00:00:00,,1984
The Spectacular Now,"Comedy,Drama,Romance",English,95,06/24/2021 00:00:00,,2013
Poison,"Drama,Horror,Science Fiction",English,85,06/25/2021 00:00:00,,1991
The Conjuring,"Horror,Thriller",English,112,06/26/2021 00:00:00,,2013
Ravenous,"Horror,Drama,Science Fiction",French,103,06/27/2021 00:00:00,,2017
Splendor,"Comedy,Romance",English,93,06/28/2021 00:00:00,,1999
Killing Them Softly,"Crime,Thriller",English,97,06/29/2021 00:00:00,,2012
The Conjuring 2,"Horror,Thriller",English,134,07/02/2021 00:00:00,,2016
Zombieland,"Comedy,Horror",English,88,07/04/2021 00:00:00,,2009
Cat People,"Horror,Drama","Serbian,English",73,07/05/2021 00:00:00,,1942
Flipped,"Romance,Drama",English,89,07/06/2021 00:00:00,,2010
Not Another Teen Movie,Comedy,English,89,07/07/2021 00:00:00,,2001
The Clovehitch Killer,"Drama,Mystery,Crime",English,109,07/08/2021 00:00:00,,2018
My Darling Clementine,"Western,Romance",English,97,07/09/2021 00:00:00,,1946
Pinocchio,"Animation,Family",English,88,07/10/2021 00:00:00,,1940
Black Widow,"Action,Adventure,Science Fiction","English,Russian",134,07/11/2021 00:00:00,,2021
The 400 Blows,Drama,"English,French",99,07/13/2021 00:00:00,,1959
"Monsters, Inc.","Animation,Comedy,Family",English,92,07/14/2021 00:00:00,,2001
Mystic Pizza,"Comedy,Drama,Romance",English,104,07/16/2021 00:00:00,,1988
The Sound of Fury,"Action,Drama,Thriller,Crime",English,85,07/18/2021 00:00:00,,1950
Peeping Tom,"Horror,Thriller,Drama",English,101,07/19/2021 00:00:00,,1960
Theorem,"Mystery,Drama",Italian,95,07/20/2021 00:00:00,,1968
Deadlock,"Thriller,Crime,Drama",English,90,07/21/2021 00:00:00,,1970
Phantom of the Paradise,"Comedy,Fantasy,Horror,Music,Thriller",English,92,07/22/2021 00:00:00,,1974
Land of the Dead,"Horror,Thriller,Science Fiction","English,French,Haitian; Haitian Creole,Italian,Polish,Spanish",93,07/25/2021 00:00:00,Yes,2005
Shaun of the Dead,"Horror,Comedy",English,99,07/27/2021 00:00:00,Yes,2004
Luca,"Animation,Comedy,Family,Fantasy","English,Italian",95,07/29/2021 00:00:00,Yes,2021
Sartana's Here... Trade Your Pistol for a Coffin,Western,"Italian,Portuguese",93,07/30/2021 00:00:00,,1970
Teen Beach Movie,"Family,Music,TV Movie,Comedy",English,96,07/31/2021 00:00:00,,2013
The Fast and the Furious,"Action,Crime,Thriller",English,106,08/02/2021 00:00:00,,2001
2 Fast 2 Furious,"Action,Crime,Thriller","English,Spanish",108,08/03/2021 00:00:00,,2003
Elektra,"Action,Fantasy,Science Fiction","English,Japanese",97,08/04/2021 00:00:00,,2005
The Dark Crystal,"Adventure,Family,Fantasy",English,93,08/06/2021 00:00:00,,1982
Pride & Prejudice,"Drama,Romance",English,127,08/07/2021 00:00:00,,2005
Vivo,"Animation,Family,Comedy","Spanish,English",103,08/08/2021 00:00:00,,2021
Fear Street: 1994,"Mystery,Horror,Fantasy",English,107,08/11/2021 00:00:00,,2021
The Karate Kid,"Action,Family,Drama",English,126,08/12/2021 00:00:00,,1984
Friday the 13th Part III,Horror,English,95,08/13/2021 00:00:00,,1982
Cry-Baby,"Comedy,Music,Romance",English,85,08/14/2021 00:00:00,,1990
Big Trouble in Little China,"Action,Adventure,Comedy,Fantasy","Cantonese,English",99,08/15/2021 00:00:00,,1986
Lost in Translation,"Comedy,Drama,Romance","Japanese,English",102,08/16/2021 00:00:00,,2003
Nuns on the Run,Comedy,"English,Cantonese",89,08/17/2021 00:00:00,,1990
The Fast and the Furious: Tokyo Drift,"Action,Crime,Drama,Thriller","English,Japanese",104,08/18/2021 00:00:00,,2006
Election,Comedy,English,103,08/21/2021 00:00:00,Yes,1999
To All the Boys I've Loved Before,"Comedy,Romance",English,100,08/22/2021 00:00:00,,2018
Fear Street: 1978,"Mystery,Horror,Fantasy",English,110,08/23/2021 00:00:00,,2021
The Machinist,"Thriller,Drama",English,101,08/24/2021 00:00:00,,2004
"Steamboat Bill, Jr.","Comedy,Family,Romance",No Language,70,08/26/2021 00:00:00,,1928
Nocturnal Animals,"Drama,Thriller",English,117,08/28/2021 00:00:00,,2016
Heavy,"Drama,Romance",English,105,08/29/2021 00:00:00,,1995
Fast & Furious,"Action,Crime,Drama,Thriller","English,Spanish",107,09/03/2021 00:00:00,,2009
School of Rock,"Comedy,Music,Family",English,110,09/05/2021 00:00:00,,2003
The Driller Killer,"Drama,Horror",English,96,09/07/2021 00:00:00,,1979
Virus,"Horror,Science Fiction,Drama","Russian,German,English,French,Japanese,Spanish",156,09/09/2021 00:00:00,,1980
But I'm a Cheerleader,"Comedy,Romance",English,85,09/10/2021 00:00:00,,1999
Cop Car,Thriller,English,86,09/11/2021 00:00:00,,2015
Slacker,"Comedy,Drama",English,97,09/12/2021 00:00:00,,1990
Kate,Action,"English,Japanese",106,09/13/2021 00:00:00,,2021
The Edge of Seventeen,"Comedy,Drama",English,105,09/14/2021 00:00:00,,2016
Sex Drive,"Comedy,Adventure,Romance",English,109,09/15/2021 00:00:00,,2008
Escape from Alcatraz,"Drama,Thriller",English,113,09/16/2021 00:00:00,,1979
The Babysitter,"Comedy,Horror",English,85,09/17/2021 00:00:00,,2017
The Wackiest Wagon Train In The West,"Comedy,Western",English,86,09/18/2021 00:00:00,,1976
The Monster Squad,"Comedy,Action,Fantasy","English,German,Portuguese",82,09/19/2021 00:00:00,,1987
Paper Moon,"Comedy,Crime,Drama",English,102,09/20/2021 00:00:00,,1973
Harold and Maude,"Comedy,Drama,Romance",English,91,09/21/2021 00:00:00,,1971
Rewind,Documentary,English,86,09/22/2021 00:00:00,,2019
Fast Five,"Action,Thriller,Crime","English,Spanish,Portuguese,Italian",130,09/25/2021 00:00:00,,2011
Dead Ringers,"Thriller,Horror",English,115,09/26/2021 00:00:00,,1988
Grown Ups,Comedy,English,102,09/28/2021 00:00:00,,2010
The Babysitter: Killer Queen,"Comedy,Horror",English,101,09/29/2021 00:00:00,,2020
Training Day,"Action,Crime,Drama","English,Russian,Spanish,Korean",122,09/30/2021 00:00:00,,2001
The Guilty,"Drama,Thriller",English,91,10/01/2021 00:00:00,,2021
There Will Be Blood,Drama,English,158,10/02/2021 00:00:00,Yes,2007
Project X,Comedy,English,88,10/03/2021 00:00:00,,2012
Léon: The Professional,"Crime,Drama,Action","English,French,Italian",111,10/04/2021 00:00:00,,1994
Observe and Report,"Comedy,Crime,Drama",English,87,10/05/2021 00:00:00,,2009
Layer Cake,"Drama,Thriller,Crime","English,Romanian",105,10/06/2021 00:00:00,,2004
Dead & Buried,"Horror,Mystery",English,94,10/07/2021 00:00:00,,1981
Fast & Furious 6,"Action,Thriller,Crime","Cantonese,Dutch,English,Japanese,Russian,Spanish",131,10/09/2021 00:00:00,,2013
The Descent,"Adventure,Horror",English,99,10/12/2021 00:00:00,,2005
Scream,"Crime,Horror,Mystery",English,112,10/13/2021 00:00:00,,1996
Black Christmas,"Horror,Mystery,Thriller",English,98,10/14/2021 00:00:00,,1974
House of 1000 Corpses,"Horror,Crime",English,89,10/15/2021 00:00:00,,2003
Frankenhooker,"Comedy,Horror,Science Fiction","English,Swedish",85,10/16/2021 00:00:00,,1990
Hellraiser,"Horror,Fantasy",English,93,10/17/2021 00:00:00,,1987
Dick Johnson Is Dead,Documentary,English,89,10/18/2021 00:00:00,,2020
The Rocky Horror Picture Show,"Comedy,Science Fiction,Fantasy,Horror",English,100,10/19/2021 00:00:00,,1975
Sleepaway Camp II: Unhappy Campers,"Horror,Comedy",English,80,10/23/2021 00:00:00,,1988
Dazed and Confused,"Comedy,Drama",English,102,10/24/2021 00:00:00,Yes,1993
Halloween,"Horror,Thriller",English,91,10/25/2021 00:00:00,,1978
The Lords of Salem,"Horror,Thriller",English,101,10/26/2021 00:00:00,,2012
Motel Hell,"Comedy,Horror",English,102,10/27/2021 00:00:00,,1980
Hatchet,"Comedy,Horror",English,84,10/30/2021 00:00:00,,2006
We Need to Talk About Kevin,"Drama,Thriller",English,113,11/01/2021 00:00:00,,2011
Terminator 2: Judgment Day,"Action,Thriller,Science Fiction","English,Spanish",137,11/02/2021 00:00:00,,1991
Hard Candy,"Drama,Thriller",English,103,11/03/2021 00:00:00,,2005
The Night Eats the World,"Drama,Horror,Thriller","English,French,Norwegian",94,11/04/2021 00:00:00,,2018
Dance of the Dead,"Comedy,Horror",English,87,11/05/2021 00:00:00,,2008
Midsommar,"Horror,Drama,Mystery","English,Swedish",147,11/06/2021 00:00:00,,2019
The Vast of Night,"Mystery,Science Fiction,Thriller,Drama",English,91,11/07/2021 00:00:00,,2019
The Little Girl Who Lives Down the Lane,"Drama,Mystery,Thriller",English,91,11/08/2021 00:00:00,,1976
Trees Lounge,"Drama,Comedy","Italian,English",95,11/09/2021 00:00:00,,1996
Delicatessen,"Comedy,Science Fiction,Fantasy",French,99,11/10/2021 00:00:00,,1991
The Miracle of Life,"Horror,Comedy,Drama",,84,11/11/2021 00:00:00,,2013
National Lampoon's Loaded Weapon 1,"Comedy,Crime,Action",English,84,11/12/2021 00:00:00,,1993
Frailty,"Drama,Thriller,Crime",English,100,11/14/2021 00:00:00,,2001
"Paris, Texas",Drama,"Spanish,English",145,11/15/2021 00:00:00,Yes,1984
Coherence,"Thriller,Science Fiction",English,89,11/16/2021 00:00:00,,2013
Belly,"Crime,Drama",English,96,11/17/2021 00:00:00,,1998
Jasper Mall,Documentary,English,84,11/19/2021 00:00:00,,2020
The Limey,"Crime,Drama,Mystery",English,89,11/20/2021 00:00:00,,1999
Tangerine,"Comedy,Drama","Armenian,English",87,11/22/2021 00:00:00,,2015
The Wolf House,"Animation,Horror,Fantasy,Drama","German,Spanish",75,11/23/2021 00:00:00,,2018
Girls Just Want to Have Fun,"Comedy,Family,Music,Romance",English,87,11/24/2021 00:00:00,,1985
How the Grinch Stole Christmas,"Family,Comedy,Fantasy",English,104,11/27/2021 00:00:00,,2000
Ernest Saves Christmas,"Comedy,Family",English,95,11/28/2021 00:00:00,,1988
Anomalisa,"Animation,Drama,Romance,Comedy",English,90,12/02/2021 00:00:00,,2015
Certain Women,Drama,English,107,12/06/2021 00:00:00,,2016
The Power of the Dog,"Drama,Western",English,128,12/08/2021 00:00:00,,2021
